Rank,Company Name,Country,"Revenues
($millions)","Profits
($millions)","Assets
($millions)","Market Value 
As of 3/29/18 ($m)"
64,Glencore International,Switzerland,"$205,400.00","$5,800.00","$135,600.00","$75,500.00"
65,Banco Bradesco,Brazil,"$76,500.00","$4,700.00","$370,500.00","$61,300.00"
66,Prudential,United Kingdom,"$111,500.00","$3,100.00","$655,100.00","$67,800.00"
67,Ford Motor,United States,"$159,600.00","$7,800.00","$267,200.00","$44,600.00"
68,IBM,United States,"$80,100.00","$5,700.00","$125,300.00","$132,300.00"
69,CVS Health,United States,"$185,900.00","$6,600.00","$135,100.00","$65,500.00"
70,Shanghai Pudong Development,China,"$48,300.00","$8,200.00","$974,800.00","$50,700.00"
71,Commonwealth Bank,Australia,"$33,000.00","$7,600.00","$752,400.00","$93,500.00"
72,Walt Disney,United States,"$56,800.00","$11,500.00","$97,900.00","$152,100.00"
73,Prudential Financial,United States,"$61,100.00","$7,800.00","$829,700.00","$42,000.00"
74,Rosneft,Russia,"$94,800.00","$3,900.00","$214,200.00","$69,000.00"
75,Enel,Italy,"$86,700.00","$4,600.00","$193,600.00","$61,600.00"
76,Citic Pacific,Hong Kong,"$57,800.00","$5,600.00","$962,100.00","$44,400.00"
77,Facebook,United States,"$44,600.00","$17,800.00","$88,900.00","$541,500.00"
78,MetLife,United States,"$64,100.00","$4,400.00","$712,600.00","$47,500.00"
79,Deutsche Telekom,Germany,"$84,500.00","$3,900.00","$179,100.00","$80,800.00"
80,SAIC Motor,China,"$136,600.00","$5,400.00","$118,400.00","$63,800.00"
81,Alibaba,China,"$37,900.00","$9,600.00","$114,000.00","$499,400.00"
82,BASF,Germany,"$75,100.00","$7,100.00","$98,900.00","$95,300.00"
83,Reliance Industries,India,"$60,800.00","$5,600.00","$125,200.00","$93,100.00"
84,China State Construction Engineering,China,"$162,300.00","$5,100.00","$257,600.00","$40,400.00"
85,China Citic Bank,China,"$43,600.00","$6,500.00","$894,000.00","$46,500.00"
86,Sony,Japan,"$77,100.00","$4,400.00","$179,300.00","$59,900.00"
87,Westpac Banking Group,Australia,"$29,400.00","$6,400.00","$668,800.00","$76,200.00"
88,Bank of Nova Scotia,Canada,"$28,800.00","$6,500.00","$752,500.00","$75,000.00"
89,British American Tobacco,United Kingdom,"$26,100.00","$48,300.00","$190,800.00","$120,000.00"
90,China Minsheng Banking,China,"$42,700.00","$7,400.00","$954,000.00","$43,500.00"
91,Equinor,Norway,"$65,100.00","$4,900.00","$115,400.00","$90,200.00"
92,AIA Group,Hong Kong,"$31,900.00","$6,100.00","$213,200.00","$111,400.00"
93,Roche Holding,Switzerland,"$54,200.00","$8,800.00","$78,700.00","$189,700.00"
94,Lloyds Banking Group,United Kingdom,"$33,600.00","$4,000.00","$1,098,600.00","$65,400.00"
95,Eni,Italy,"$75,500.00","$3,900.00","$143,100.00","$70,700.00"
96,Charter Communications,United States,"$42,100.00","$9,900.00","$146,200.00","$64,800.00"
97,Nissan Motor,Japan,"$106,900.00","$7,400.00","$173,700.00","$39,700.00"
98,LukOil,Russia,"$99,900.00","$7,200.00","$92,000.00","$60,400.00"
99,United Technologies,United States,"$61,200.00","$4,500.00","$98,800.00","$99,600.00"
100,Bayer,Germany,"$44,400.00","$8,400.00","$92,700.00","$104,600.00"
101,AIRBUS,Netherlands,"$74,700.00","$3,000.00","$138,300.00","$92,100.00"
102,PepsiCo,United States,"$64,000.00","$4,900.00","$81,900.00","$138,100.00"
103,Unilever,Netherlands,"$60,600.00","$6,800.00","$72,400.00","$155,800.00"
104,ANZ,Australia,"$28,700.00","$5,300.00","$717,300.00","$61,200.00"
105,Hon Hai Precision,Taiwan,"$154,700.00","$4,600.00","$114,500.00","$49,500.00"
106,Tencent Holdings,China,"$35,300.00","$10,600.00","$85,200.00","$491,300.00"
107,Oracle,United States,"$39,500.00","$3,700.00","$138,200.00","$191,100.00"
108,BHP Billiton,Australia,"$41,200.00","$4,700.00","$112,600.00","$133,200.00"
109,US Bancorp,United States,"$24,100.00","$6,400.00","$460,100.00","$84,600.00"
110,Zurich Insurance Group,Switzerland,"$64,100.00","$3,000.00","$401,100.00","$48,000.00"
111,Rio Tinto,United Kingdom,"$40,000.00","$8,700.00","$95,700.00","$99,300.00"
112,Mitsubishi,Japan,"$68,300.00","$5,100.00","$150,800.00","$46,400.00"
113,UniCredit Group,Italy,"$29,000.00","$6,100.00","$1,004,800.00","$47,800.00"
114,Mizuho Financial,Japan,"$29,700.00","$5,100.00","$1,850,400.00","$46,200.00"
115,EDF,France,"$78,500.00","$2,900.00","$337,100.00","$43,000.00"
116,BBVA-Banco Bilbao Vizcaya,Spain,"$29,200.00","$4,300.00","$843,000.00","$54,500.00"
117,Sanofi,France,"$39,500.00","$4,300.00","$119,900.00","$94,900.00"
118,Taiwan Semiconductor,Taiwan,"$33,100.00","$11,500.00","$70,300.00","$203,000.00"
119,American Express,United States,"$37,600.00","$3,100.00","$180,000.00","$87,300.00"
120,Saudi Basic Industries,Saudi Arabia,"$41,900.00","$5,000.00","$90,500.00","$91,800.00"
121,Home Depot,United States,"$100,900.00","$8,600.00","$44,500.00","$219,400.00"
122,DowDuPont,United States,"$80,600.00","$1,700.00","$192,400.00","$155,300.00"
123,Telefónica,Spain,"$59,700.00","$3,400.00","$141,200.00","$51,100.00"
124,Walgreens Boots Alliance,United States,"$124,000.00","$4,100.00","$70,800.00","$63,600.00"
125,National Australia Bank,Australia,"$25,600.00","$4,100.00","$610,600.00","$58,200.00"
126,Kraft Heinz Company,United States,"$26,200.00","$11,100.00","$120,800.00","$72,200.00"
127,China Evergrande Group,China,"$46,000.00","$3,600.00","$270,500.00","$42,000.00"
128,Fiat Chrysler Automobiles,United Kingdom,"$128,800.00","$4,500.00","$117,600.00","$35,000.00"
129,Anthem,United States,"$90,100.00","$4,100.00","$73,300.00","$59,200.00"
130,Chubb,Switzerland,"$32,600.00","$3,900.00","$168,800.00","$63,400.00"
131,China Shenhua Energy,China,"$36,400.00","$6,700.00","$91,200.00","$64,600.00"
132,Vale,Brazil,"$34,100.00","$4,600.00","$94,400.00","$77,400.00"
133,China Vanke,China,"$36,600.00","$4,200.00","$194,600.00","$43,800.00"
134,PNC Financial Services,United States,"$18,500.00","$5,500.00","$379,200.00","$70,900.00"
135,Renault,France,"$66,300.00","$5,800.00","$132,000.00","$30,800.00"
136,Generali Group,Italy,"$93,100.00","$2,400.00","$647,200.00","$30,800.00"
137,AbbVie,United States,"$29,600.00","$6,400.00","$69,300.00","$165,300.00"
138,China Pacific Insurance,China,"$50,900.00","$2,500.00","$191,100.00","$48,000.00"
139,Bank of Montreal,Canada,"$22,200.00","$3,700.00","$593,300.00","$50,900.00"
140,Banco do Brasil,Brazil,"$55,000.00","$3,400.00","$412,800.00","$27,800.00"
141,China Everbright Bank,China,"$30,300.00","$4,800.00","$661,700.00","$32,200.00"
142,CK Hutchison,Hong Kong,"$31,900.00","$4,500.00","$140,700.00","$45,400.00"
143,Country Garden Holdings,China,"$33,800.00","$3,900.00","$161,200.00","$45,200.00"
144,KDDI,Japan,"$45,500.00","$5,200.00","$61,800.00","$65,500.00"
145,Johnson & Johnson,United States,"$78,700.00","$1,200.00","$156,600.00","$341,300.00"
146,Iberdrola,Spain,"$37,800.00","$3,300.00","$138,000.00","$49,400.00"
147,Hyundai Motor,South Korea,"$85,900.00","$3,000.00","$164,700.00","$31,600.00"
148,Credit Agricole,France,"$21,100.00","$3,600.00","$1,861,600.00","$43,900.00"
149,Hitachi,Japan,"$84,500.00","$3,300.00","$95,000.00","$38,500.00"
150,Christian Dior,France,"$49,300.00","$2,500.00","$87,400.00","$76,400.00"
151,Phillips 66,United States,"$92,700.00","$5,100.00","$52,100.00","$54,900.00"
152,ArcelorMittal,Luxembourg,"$68,600.00","$4,600.00","$85,300.00","$36,800.00"
153,United Parcel Service,United States,"$67,700.00","$5,100.00","$44,500.00","$99,700.00"
154,Medtronic,Ireland,"$29,700.00","$2,800.00","$95,800.00","$116,000.00"
155,FedEx,United States,"$63,900.00","$4,500.00","$51,900.00","$67,000.00"
156,PTT PCL,Thailand,"$58,800.00","$3,900.00","$68,500.00","$50,900.00"
157,VINCI,France,"$46,100.00","$3,100.00","$83,800.00","$56,800.00"
158,CNOOC,Hong Kong,"$27,600.00","$3,600.00","$94,800.00","$78,800.00"
159,Capital One Financial,United States,"$30,600.00","$2,500.00","$362,900.00","$45,100.00"
160,Time Warner,United States,"$31,500.00","$5,500.00","$69,000.00","$73,400.00"
161,Société Générale,France,"$27,800.00","$2,600.00","$1,531,200.00","$38,300.00"
162,Bank of New York Mellon,United States,"$17,300.00","$4,300.00","$373,600.00","$57,800.00"
163,UBS,Switzerland,"$40,300.00","$1,500.00","$960,100.00","$61,800.00"
164,Visa,United States,"$19,400.00","$9,000.00","$69,000.00","$295,100.00"
165,Brookfield Asset Management,Canada,"$47,600.00","$2,300.00","$195,900.00","$38,900.00"
166,Caterpillar,United States,"$48,500.00","$2,200.00","$78,000.00","$92,600.00"
167,Aetna,United States,"$60,600.00","$3,500.00","$59,200.00","$57,100.00"
168,Royal Bank of Scotland,United Kingdom,"$21,500.00","$2,500.00","$1,036,000.00","$47,900.00"
169,China Communications Construction,China,"$71,200.00","$3,000.00","$135,600.00","$28,800.00"
170,McKesson,United States,"$205,400.00","$4,800.00","$64,200.00","$30,800.00"
171,Aviva,United Kingdom,"$63,700.00","$1,900.00","$580,600.00","$29,500.00"
172,Express Scripts,United States,"$100,200.00","$4,600.00","$53,400.00","$40,900.00"
173,Valero Energy,United States,"$98,600.00","$4,200.00","$49,400.00","$49,400.00"
174,China Telecom,China,"$54,200.00","$2,700.00","$101,500.00","$38,600.00"
175,Union Pacific,United States,"$21,600.00","$11,000.00","$57,800.00","$109,700.00"
176,Duke Energy,United States,"$24,000.00","$3,000.00","$138,500.00","$56,200.00"
177,Jardine Matheson,Hong Kong,"$39,500.00","$3,800.00","$82,800.00","$44,200.00"
178,Enbridge,Canada,"$33,600.00","$2,200.00","$129,400.00","$57,200.00"
179,Exelon,United States,"$34,500.00","$3,400.00","$117,000.00","$39,200.00"
180,ENGIE,France,"$73,300.00","$1,600.00","$180,500.00","$41,800.00"
181,SAP,Germany,"$27,400.00","$4,900.00","$51,000.00","$138,900.00"
182,NextEra Energy,United States,"$16,400.00","$8,200.00","$94,300.00","$75,800.00"
183,Mitsui,Japan,"$44,100.00","$3,800.00","$106,300.00","$30,300.00"
184,Manulife,Canada,"$40,100.00","$1,700.00","$549,700.00","$38,500.00"
185,Allstate,United States,"$38,000.00","$3,500.00","$113,300.00","$33,900.00"
186,BlackRock,United States,"$13,400.00","$5,200.00","$216,000.00","$86,600.00"
187,Legal & General Group,United Kingdom,"$52,100.00","$2,400.00","$676,600.00","$22,600.00"
188,China Railway Group,China,"$106,000.00","$2,500.00","$132,600.00","$25,300.00"
189,Costco Wholesale,United States,"$136,000.00","$3,000.00","$38,700.00","$85,900.00"
190,Tokio Marine Holdings,Japan,"$47,600.00","$1,800.00","$206,900.00","$35,900.00"
191,Merck & Co.,United States,"$40,800.00","$1,600.00","$86,000.00","$160,600.00"
192,Orange,France,"$46,400.00","$1,800.00","$115,700.00","$48,300.00"
193,Philip Morris International,United States,"$29,600.00","$6,000.00","$43,100.00","$126,200.00"
194,Dai-ichi Life Insurance,Japan,"$57,600.00","$2,200.00","$482,000.00","$22,800.00"
195,Aflac,United States,"$21,800.00","$4,700.00","$147,400.00","$35,000.00"
196,Canadian Imperial Bank,Canada,"$16,600.00","$3,600.00","$478,400.00","$40,000.00"
197,Gilead Sciences,United States,"$24,800.00","$3,500.00","$65,400.00","$86,000.00"
198,Twenty-First Century Fox,United States,"$29,200.00","$4,000.00","$54,000.00","$70,300.00"
199,Nordea Bank,Sweden,"$15,200.00","$3,500.00","$713,500.00","$43,000.00"
200,Broadcom,United States,"$18,800.00","$7,800.00","$54,500.00","$100,000.00"
201,SK Hynix,South Korea,"$29,300.00","$10,700.00","$46,100.00","$56,800.00"
202,HDFC Bank,India,"$15,700.00","$2,900.00","$169,100.00","$77,600.00"
203,Suncor Energy,Canada,"$25,700.00","$3,000.00","$70,800.00","$65,100.00"
204,Continental,Germany,"$51,400.00","$3,500.00","$47,800.00","$53,200.00"
205,Deutsche Post,Germany,"$68,200.00","$3,100.00","$46,700.00","$50,800.00"
206,Itochu,Japan,"$49,700.00","$3,600.00","$81,500.00","$28,800.00"
207,L'Oréal Group,France,"$29,400.00","$4,300.00","$42,400.00","$134,200.00"
208,Lockheed Martin,United States,"$51,600.00","$2,400.00","$46,600.00","$92,500.00"
209,Coca-Cola,United States,"$33,700.00","$1,400.00","$93,300.00","$179,300.00"
210,Honeywell International,United States,"$41,400.00","$1,800.00","$60,900.00","$110,100.00"
211,Lowe's,United States,"$68,600.00","$3,400.00","$35,300.00","$72,200.00"
212,Mondelez International,United States,"$26,200.00","$3,200.00","$64,500.00","$57,900.00"
213,AstraZeneca,United Kingdom,"$22,400.00","$3,000.00","$63,400.00","$90,600.00"
214,3M,United States,"$32,300.00","$4,100.00","$38,600.00","$121,800.00"
215,Amgen,United States,"$23,000.00","$2,200.00","$71,200.00","$115,800.00"
216,Marathon Petroleum,United States,"$71,600.00","$3,400.00","$50,400.00","$35,700.00"
217,Altria Group,United States,"$19,600.00","$10,700.00","$43,900.00","$104,500.00"
218,China Railway Construction,China,"$103,200.00","$2,500.00","$131,100.00","$20,300.00"
219,KB Financial Group,South Korea,"$29,000.00","$3,100.00","$409,200.00","$21,700.00"
220,Cigna,United States,"$42,600.00","$2,600.00","$63,100.00","$42,300.00"
221,Micron Technology,United States,"$25,900.00","$10,000.00","$41,300.00","$60,100.00"
222,Denso,Japan,"$46,100.00","$2,900.00","$54,200.00","$40,600.00"
223,JXTG Holdings,Japan,"$92,900.00","$3,300.00","$79,500.00","$22,000.00"
224,Danske Bank,Denmark,"$18,300.00","$3,000.00","$583,800.00","$29,100.00"
225,Delta Air Lines,United States,"$42,100.00","$3,500.00","$54,100.00","$37,100.00"
226,GlaxoSmithKline,United Kingdom,"$39,800.00","$1,400.00","$78,800.00","$98,600.00"
227,People's Insurance,China,"$70,000.00","$2,400.00","$147,400.00","$20,200.00"
228,DBS Group,Singapore,"$11,800.00","$3,400.00","$404,100.00","$56,600.00"
229,Posco,South Korea,"$55,300.00","$2,600.00","$75,600.00","$26,800.00"
230,E.ON,Germany,"$43,000.00","$4,900.00","$67,900.00","$24,200.00"
231,Panasonic,Japan,"$72,000.00","$2,100.00","$59,200.00","$34,900.00"
232,Fresenius,Germany,"$39,300.00","$2,100.00","$65,800.00","$44,100.00"
233,Repsol,Spain,"$49,700.00","$2,300.00","$71,600.00","$30,200.00"
234,Travelers,United States,"$29,300.00","$2,100.00","$103,700.00","$35,500.00"
235,East Japan Railway,Japan,"$26,600.00","$2,600.00","$76,600.00","$37,900.00"
236,Baoshan Iron & Steel,China,"$40,700.00","$3,100.00","$56,200.00","$31,700.00"
237,Qatar National Bank,Qatar,"$13,800.00","$3,700.00","$228,900.00","$36,400.00"
238,Volvo Group,Sweden,"$41,500.00","$2,600.00","$53,100.00","$37,100.00"
239,Danone,France,"$27,800.00","$2,800.00","$53,200.00","$48,900.00"
240,Thermo Fisher Scientific,United States,"$22,000.00","$2,300.00","$56,600.00","$87,100.00"
241,McDonald's,United States,"$22,300.00","$5,400.00","$33,700.00","$129,900.00"
242,Target,United States,"$71,900.00","$2,900.00","$39,000.00","$37,600.00"
243,Petrobras,Brazil,"$90,000.00",$642.00,"$248,000.00","$92,600.00"
244,KBC Group,Belgium,"$13,800.00","$2,800.00","$351,000.00","$36,000.00"
245,Midea Group,China,"$37,800.00","$2,700.00","$40,100.00","$55,700.00"
246,Shire,Ireland,"$15,300.00","$4,400.00","$67,900.00","$50,300.00"
247,HP,United States,"$54,200.00","$3,900.00","$35,200.00","$37,300.00"
248,EXOR,Netherlands,"$161,800.00","$1,600.00","$196,700.00","$18,300.00"
249,National Grid,United Kingdom,"$18,400.00","$3,400.00","$77,300.00","$38,500.00"
250,Central Japan Railway,Japan,"$16,400.00","$3,600.00","$83,800.00","$38,700.00"
251,General Dynamics,United States,"$31,100.00","$2,900.00","$37,200.00","$60,600.00"
252,Canon,Japan,"$36,700.00","$2,200.00","$46,800.00","$46,400.00"
253,Sumitomo,Japan,"$43,600.00","$2,800.00","$73,100.00","$22,000.00"
254,Orix,Japan,"$25,800.00","$2,800.00","$107,400.00","$23,100.00"
255,BB&T,United States,"$12,300.00","$2,800.00","$220,700.00","$42,900.00"
256,Schneider Electric,France,"$27,900.00","$2,400.00","$47,900.00","$48,400.00"
257,Air Liquide,France,"$23,000.00","$2,500.00","$49,300.00","$55,100.00"
258,Japan Tobacco,Japan,"$19,400.00","$3,500.00","$46,500.00","$55,000.00"
259,Peugeot,France,"$73,600.00","$2,200.00","$69,800.00","$21,400.00"
260,Cathay Financial,Taiwan,"$23,600.00","$1,900.00","$296,900.00","$23,100.00"
261,Anglo American,United Kingdom,"$26,200.00","$3,200.00","$54,600.00","$32,000.00"
262,Bank of Beijing,China,"$15,900.00","$2,900.00","$380,300.00","$23,000.00"
263,Seven & I Holdings,Japan,"$54,200.00","$1,600.00","$51,500.00","$38,900.00"
264,ABB,Switzerland,"$35,000.00","$2,100.00","$43,600.00","$51,300.00"
265,Sun Life Financial,Canada,"$21,800.00","$1,800.00","$206,000.00","$25,900.00"
266,Oil & Natural Gas,India,"$18,700.00","$3,100.00","$65,500.00","$35,700.00"
267,Danaher,United States,"$18,800.00","$2,600.00","$47,100.00","$71,100.00"
268,Sun Hung Kai Properties,Hong Kong,"$11,300.00","$6,900.00","$87,000.00","$46,900.00"
269,Poly Real Estate,China,"$20,500.00","$2,400.00","$121,000.00","$25,600.00"
270,Indian Oil,India,"$52,900.00","$3,000.00","$46,600.00","$24,400.00"
271,Deere & Company,United States,"$30,500.00","$1,400.00","$66,600.00","$47,700.00"
272,Diageo,United Kingdom,"$15,700.00","$4,100.00","$40,700.00","$89,400.00"
273,Charles Schwab,United States,"$9,400.00","$2,600.00","$248,300.00","$80,200.00"
274,Shinhan Financial Group,South Korea,"$17,600.00","$2,500.00","$406,600.00","$21,200.00"
275,HCA Holdings,United States,"$44,400.00","$2,700.00","$37,300.00","$35,600.00"
276,Tesco,United Kingdom,"$75,400.00","$1,300.00","$61,800.00","$32,700.00"
277,Aegon,Netherlands,"$35,200.00","$2,600.00","$452,400.00","$14,100.00"
278,CRRC,China,"$31,300.00","$1,600.00","$59,200.00","$41,000.00"
279,Munich Re,Germany,"$63,400.00",$756.00,"$323,500.00","$34,800.00"
280,Royal Ahold Delhaize N.V.,Netherlands,"$72,400.00","$2,200.00","$42,200.00","$28,800.00"
281,SK Holdings,South Korea,"$82,500.00","$1,500.00","$102,500.00","$20,000.00"
282,BT Group,United Kingdom,"$30,800.00","$2,200.00","$61,100.00","$29,200.00"
283,Reckitt Benckiser Group,United Kingdom,"$14,800.00","$4,000.00","$50,100.00","$55,000.00"
284,Oversea-Chinese Banking,Singapore,"$10,100.00","$3,200.00","$351,200.00","$41,200.00"
285,Safran,France,"$19,100.00","$4,500.00","$38,700.00","$48,600.00"
286,Southern Company,United States,"$23,800.00","$1,200.00","$111,600.00","$45,500.00"
287,CNP Assurances,France,"$45,800.00","$1,400.00","$491,500.00","$17,100.00"
288,Accenture,Ireland,"$39,100.00","$3,600.00","$23,100.00","$101,000.00"
289,Huaxia Bank,China,"$18,700.00","$3,000.00","$404,400.00","$17,200.00"
290,Inditex,Spain,"$28,900.00","$3,800.00","$25,200.00","$99,500.00"
291,LyondellBasell Industries,United Kingdom,"$35,800.00","$5,300.00","$26,900.00","$44,100.00"
292,State Street,United States,"$11,800.00","$2,300.00","$250,300.00","$37,300.00"
293,Henkel,Germany,"$23,100.00","$2,900.00","$36,200.00","$54,100.00"
294,Gree Electric Appliances,China,"$23,900.00","$3,600.00","$34,700.00","$45,100.00"
295,Korea Electric Power,South Korea,"$52,900.00","$1,100.00","$169,800.00","$21,500.00"
296,Johnson Controls International,Ireland,"$30,700.00","$2,100.00","$50,000.00","$33,600.00"
297,Saint-Gobain,France,"$46,000.00","$1,800.00","$51,500.00","$29,800.00"
298,Mitsubishi Electric,Japan,"$40,000.00","$2,500.00","$40,100.00","$32,400.00"
299,CaixaBank,Spain,"$11,700.00","$2,300.00","$472,800.00","$30,700.00"
300,Baidu,China,"$13,400.00","$3,500.00","$42,800.00","$94,100.00"
301,Ecopetrol,Colombia,"$19,400.00","$2,800.00","$42,500.00","$45,700.00"
302,Dominion Resources,United States,"$12,700.00","$3,000.00","$77,400.00","$42,200.00"
303,Fubon Financial,Taiwan,"$26,600.00","$1,800.00","$232,100.00","$17,800.00"
304,Nippon Steel & Sumitomo Metal,Japan,"$51,100.00","$1,800.00","$71,400.00","$19,900.00"
305,Northrop Grumman,United States,"$26,300.00","$2,100.00","$34,800.00","$56,700.00"
306,Humana,United States,"$54,300.00","$1,800.00","$33,500.00","$39,200.00"
307,Nomura,Japan,"$17,800.00","$2,000.00","$381,700.00","$19,000.00"
308,Merck,Germany,"$17,300.00","$2,900.00","$43,300.00","$43,300.00"
309,Standard Chartered,United Kingdom,"$21,000.00",$893.00,"$663,500.00","$34,400.00"
310,Carnival,United States,"$18,000.00","$2,600.00","$41,400.00","$47,400.00"
311,United Overseas Bank,Singapore,"$9,400.00","$2,600.00","$277,900.00","$36,900.00"
312,China Resources Land,Hong Kong,"$15,500.00","$3,000.00","$73,500.00","$25,700.00"
313,Bridgestone,Japan,"$32,900.00","$2,600.00","$35,300.00","$30,700.00"
314,Raytheon,United States,"$25,600.00","$2,200.00","$30,500.00","$61,400.00"
315,RWE Group,Germany,"$47,900.00","$2,100.00","$89,600.00","$14,700.00"
316,Hewlett Packard Enterprise,United States,"$31,200.00","$1,500.00","$61,600.00","$27,400.00"
317,Progressive,United States,"$28,000.00","$1,900.00","$41,300.00","$36,400.00"
318,NN Group,Netherlands,"$19,900.00","$2,300.00","$271,600.00","$15,300.00"
319,Japan Post Holdings,Japan,"$116,600.00",$442.00,"$2,586,800.00","$54,600.00"
